infohash,name,file_count,total_bytes,piece_length,peer_ip,peer_port,metadata_ok
cde07adc54c2fb0a3afabc9513fbcaa381e8a381,,0,0,0,121.167.173.190,41149,False
cde07adc54c2fb0a3afabc9513fbcaa381e8a381,,0,0,0,222.112.148.183,32841,False
cde07adc54c2fb0a3afabc9513fbcaa381e8a381,,0,0,0,61.84.183.17,40735,False
cde07adc54c2fb0a3afabc9513fbcaa381e8a381,,0,0,0,202.136.129.104,33124,False
cde07adc54c2fb0a3afabc9513fbcaa381e8a381,,0,0,0,118.40.85.163,41104,False
cde07e86eb07b70d3ecb7630691852f30e5d4c80,,0,0,0,181.117.72.229,1064,False
cde07e86eb07b70d3ecb7630691852f30e5d4c80,,0,0,0,200.69.35.251,6881,False
cde07e86eb07b70d3ecb7630691852f30e5d4c80,,0,0,0,181.116.40.139,48288,False
cde07e86eb07b70d3ecb7630691852f30e5d4c80,,0,0,0,88.9.8.49,28534,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,146.70.126.168,17360,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,95.211.123.251,53178,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,156.146.39.164,34656,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,5.180.208.147,45706,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,122.199.17.148,54593,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,104.254.90.226,17028,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,95.211.123.251,24405,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,95.211.123.251,32907,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,64.42.179.51,30918,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,5.182.32.232,7129,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,146.70.174.88,2221,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,68.235.38.3,31783,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,152.86.83.27,7474,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,86.48.9.42,38324,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,86.48.9.42,49541,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,5.180.208.147,33577,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,46.232.210.26,64106,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,5.182.32.232,33670,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,146.70.185.84,6881,False
cde06f4dcd661ee2c179d423c2936ea08c98b95f,,0,0,0,146.70.174.88,8652,False
cde0495d5a6a740b954d7a1daed643a0a0d23ccd,,0,0,0,203.123.103.138,49295,False
cde0495d5a6a740b954d7a1daed643a0a0d23ccd,,0,0,0,103.107.196.142,48984,False
cde0495d5a6a740b954d7a1daed643a0a0d23ccd,,0,0,0,92.119.17.16,52198,False
cde0495d5a6a740b954d7a1daed643a0a0d23ccd,,0,0,0,92.119.17.16,46019,False
cde0495d5a6a740b954d7a1daed643a0a0d23ccd,,0,0,0,92.119.17.16,5180,False
cde0495d5a6a740b954d7a1daed643a0a0d23ccd,,0,0,0,92.119.17.16,47900,False
cde0495d5a6a740b954d7a1daed643a0a0d23ccd,,0,0,0,92.119.17.16,27458,False
cde0495d5a6a740b954d7a1daed643a0a0d23ccd,,0,0,0,179.61.228.16,31506,False
cde0495d5a6a740b954d7a1daed643a0a0d23ccd,,0,0,0,179.61.228.16,57500,False
cde0495d5a6a740b954d7a1daed643a0a0d23ccd,,0,0,0,92.119.17.16,45276,False
cde0495d5a6a740b954d7a1daed643a0a0d23ccd,,0,0,0,95.181.238.25,17797,False
cde0495d5a6a740b954d7a1daed643a0a0d23ccd,,0,0,0,103.107.196.142,27047,False
cde0495d5a6a740b954d7a1daed643a0a0d23ccd,,0,0,0,212.102.37.60,34698,False
cde0495d5a6a740b954d7a1daed643a0a0d23ccd,,0,0,0,95.181.238.25,32253,False
cde048326008f039b33c58fcea9777542cae3f3c,,0,0,0,221.141.129.198,7607,False
cde04f192f4e82148a74c1ca3c6b4d5727fb8dc6,,0,0,0,84.95.71.153,39505,False
cde06a6ce19de9e7466ec44962b9c5b5c500092c,,0,0,0,95.104.199.108,16863,False
cde06a6ce19de9e7466ec44962b9c5b5c500092c,,0,0,0,176.123.2.7,28084,False
cde06a6ce19de9e7466ec44962b9c5b5c500092c,,0,0,0,81.222.184.73,51951,False
cde06a6ce19de9e7466ec44962b9c5b5c500092c,,0,0,0,178.172.245.44,32123,False
cde0413b9d4cb51c0888840af5ca4c7c005a3187,,0,0,0,185.174.137.75,5596,False
cde0413b9d4cb51c0888840af5ca4c7c005a3187,,0,0,0,95.67.29.120,55736,False
cde0413b9d4cb51c0888840af5ca4c7c005a3187,,0,0,0,94.141.170.10,62031,False
cde04d48aea22c35354dbd716d017a73c79bd5d3,,0,0,0,198.44.136.206,61485,False
cde04d48aea22c35354dbd716d017a73c79bd5d3,,0,0,0,45.148.18.136,52405,False
cde04d48aea22c35354dbd716d017a73c79bd5d3,,0,0,0,129.226.215.97,6958,False
cde045c09e35f15c13ef9377e5daf50b6f7dde50,,0,0,0,,,False
cde0567481a29713bed9fba2208a88b54f06c11b,,0,0,0,178.237.248.3,1729,False
cde0567481a29713bed9fba2208a88b54f06c11b,,0,0,0,94.233.251.154,11406,False
cde0567481a29713bed9fba2208a88b54f06c11b,,0,0,0,193.169.62.162,44457,False
cde0567481a29713bed9fba2208a88b54f06c11b,,0,0,0,94.233.248.59,56831,False
cde04d12a321690b58aa6fcac2c1133a69093db5,,0,0,0,88.165.130.125,5323,False
cde04c4ac29555ae45006d54a4043711f811cdff,,0,0,0,5.228.161.179,48473,False
cde073458d5dd34c98b722ff70d632c417d6d786,,0,0,0,149.22.87.165,17177,False
cde073458d5dd34c98b722ff70d632c417d6d786,,0,0,0,149.22.87.165,22515,False
cde0405b0dd019425443bca2a46b2fb38fa5d6d4,,0,0,0,59.14.207.160,7966,False
cde07eaea2d8fc605fb67f862c7f201205dd0f42,,0,0,0,,,False
cde07d91163b84db192843b940be4399872e80eb,,0,0,0,,,False
cde06d4659fe3c29ab9abbac20d7437706569f4c,,0,0,0,,,False
cc0f2058518d9ba712c6f912d354ac49529aac07,,0,0,0,,,False
cde07b54d9a6a64ce59714b914cb418c69a4524a,,0,0,0,,,False
e25eea6dd1a1dab62680acb901156b5f9736a1f0,,0,0,0,125.11.216.123,6222,False
e25ece4300df555fe522369298e954d24008dd60,,0,0,0,84.221.216.16,19398,False
e25ece4300df555fe522369298e954d24008dd60,,0,0,0,169.150.223.233,64112,False
e25ece4300df555fe522369298e954d24008dd60,,0,0,0,45.144.113.100,16404,False
e25ece4300df555fe522369298e954d24008dd60,,0,0,0,45.144.113.100,18803,False
e25ece4300df555fe522369298e954d24008dd60,,0,0,0,123.193.212.96,6881,False
e25ece4300df555fe522369298e954d24008dd60,,0,0,0,62.73.122.175,4961,False
e25ece4300df555fe522369298e954d24008dd60,,0,0,0,66.56.81.140,38084,False
e25ece4300df555fe522369298e954d24008dd60,,0,0,0,124.79.245.98,61613,False
e25eecf3d63c807e2b69657a67c9541452459cee,,0,0,0,221.182.43.168,37358,False
e25ec122fb35fe85c23e9108bfa4f2b30b578055,,0,0,0,45.13.235.17,54085,False
e25ec122fb35fe85c23e9108bfa4f2b30b578055,,0,0,0,136.36.240.10,56045,False
e25ec122fb35fe85c23e9108bfa4f2b30b578055,,0,0,0,45.13.235.17,48783,False
e25ec122fb35fe85c23e9108bfa4f2b30b578055,,0,0,0,185.198.240.43,43767,False
e25eeabeb789bd63b78272a9cca01b7bb5f36730,,0,0,0,192.42.116.241,48736,False
e25eefa13504ced3388d218bf7aa1411cd455003,,0,0,0,112.184.226.80,32737,False
e25ec81f7c1bb1403b063a10adc2e3dce2d07d31,,0,0,0,47.238.147.221,19975,False
e25ec81f7c1bb1403b063a10adc2e3dce2d07d31,,0,0,0,47.238.140.64,19975,False
e25ec81f7c1bb1403b063a10adc2e3dce2d07d31,,0,0,0,8.218.220.172,19975,False
e25ef5ca5751bd2a5c1e300d1ea9d2f11c3535f0,,0,0,0,115.238.231.120,33860,False
e25ede1ad69cb2caf7fd8357f78feeb7e2c3f2dd,,0,0,0,46.64.198.159,1024,False
e25ede1ad69cb2caf7fd8357f78feeb7e2c3f2dd,,0,0,0,89.149.52.75,41500,False
e25ede1ad69cb2caf7fd8357f78feeb7e2c3f2dd,,0,0,0,89.149.52.75,2616,False
e25ede1ad69cb2caf7fd8357f78feeb7e2c3f2dd,,0,0,0,141.255.162.216,10740,False
e25ede1ad69cb2caf7fd8357f78feeb7e2c3f2dd,,0,0,0,91.148.228.140,18427,False
